STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/1/2017,0,,",,W,2400",0,",,W,2400",0,",,W,2400",47,"H,,S",56,",,W",37,",,W",,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/2/2017,0.35,,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",46,",,W",41,",,W",1,",,W",,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/3/2017,0.86,,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",46,",,W",43,",,W",1,",,W",,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/4/2017,0,,"T,,W,2400",0,",,W,2400",0,",,W,2400",48,"H,,S",57,",,W",35,",,W",1,",,W",1,",,W",,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/5/2017,0,,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",35,"H,,S",37,",,W",30,",,W",,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/6/2017,0,,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",33,"H,,S",35,",,W",27,",,W",,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/7/2017,0.01,,",,W,2400",0.4,",,W,2400",0,",,W,2400",25,"H,,S",27,",,W",19,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/8/2017,0,,",,W,2400",0,",,W,2400",0,"T,,W,2400",20,"H,,S",25,",,W",15,",,W",,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/9/2017,0,,",,W,2400",0,",,W,2400",0,",,W,2400",21,"H,,S",29,",,W",16,",,W",,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,1/10/2017,0,,",,W,2400",0,",,W,2400",0,",,W,2400",27,"H,,S",41,",,W",22,",,W",,,,,,,,,,,,,,,,
