t,srtSRTtotal,biothickl21(1),biothickl21(2),profile1xbhl21(1),profile1xbhl21(2),profile1xbhl21(3),profile1xbhl21(4),profile1xbhl21(5),profile1xbhl21(6),profile1xbail21(1),profile1xbail21(2),profile1xbail21(3),profile1xbail21(4),profile1xbail21(5),profile1xbail21(6),profile1xbaal21(1),profile1xbaal21(3),profile1xbaal21(4),profile1xbaal21(5),profile1xbaal21(6),innero2masstransl21(1),innero2masstransl21(2),q11,x11,vss11,scod11,cod11,bod11,snh11,tkn11
days,d,m,m,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,kg/d,kg/d,MGD(US),mg/L,mg/L,mgCOD/L,mgCOD/L,mgO2/L,mgN/L,mgN/L
0,3.194,0.0002457,0.0002448,818.1,57980,36520,23470,15530,11900,46.52,3329,12210,12600,9535,7588,14.17,4487,5045,3972,3210,1.26E+31,1.26E+31,2.96,2.068,1.368,13.63,15.76,1.814,0.1384,1.715
0.05,3.227,0.0002458,0.0002449,819.3,56950,36510,23470,15530,11900,46.58,3269,12210,12600,9535,7588,14.19,4487,5045,3972,3210,1.26E+31,1.26E+31,2.96,2.068,1.368,13.63,15.76,1.815,0.1384,1.715
0.1,3.224,0.0002458,0.0002449,821.3,57490,36550,23480,15530,11900,46.53,3287,12200,12600,9533,7587,14.18,4486,5044,3971,3209,1.26E+31,1.26E+31,2.96,2.069,1.368,13.63,15.76,1.815,0.1384,1.715
0.15,3.219,0.0002458,0.0002449,821.8,57820,36570,23480,15530,11900,46.51,3303,12200,12600,9531,7586,14.17,4485,5042,3970,3209,1.26E+31,1.26E+31,2.96,2.07,1.369,13.63,15.77,1.815,0.1384,1.715
0.2,3.212,0.0002457,0.0002449,821.3,57940,36590,23490,15530,11900,46.5,3311,12190,12590,9529,7585,14.17,4484,5041,3970,3208,1.26E+31,1.26E+31,2.96,2.071,1.37,13.63,15.77,1.816,0.1384,1.715
0.25,3.206,0.0002457,0.0002449,820.6,57980,36590,23490,15530,11900,46.5,3316,12190,12590,9527,7585,14.17,4482,5039,3969,3208,1.26E+31,1.26E+31,2.96,2.072,1.37,13.63,15.77,1.816,0.1384,1.715
0.3,3.202,0.0002457,0.0002449,820.2,57990,36600,23490,15540,11900,46.5,3319,12190,12580,9525,7584,14.17,4481,5038,3968,3208,1.26E+31,1.26E+31,2.96,2.072,1.371,13.63,15.77,1.816,0.1384,1.715
0.35,3.198,0.0002457,0.0002449,819.9,57990,36600,23500,15540,11900,46.5,3320,12180,12580,9524,7583,14.17,4480,5037,3967,3207,1.26E+31,1.26E+31,2.96,2.072,1.371,13.63,15.77,1.816,0.1384,1.715
0.4,3.196,0.0002457,0.0002449,819.9,57990,36590,23500,15540,11900,46.5,3321,12180,12580,9523,7583,14.17,4479,5036,3967,3207,1.26E+31,1.26E+31,2.96,2.072,1.37,13.63,15.77,1.816,0.1384,1.715
0.45,3.195,0.0002457,0.0002449,819.9,57990,36590,23500,15540,11900,46.5,3321,12180,12580,9522,7582,14.17,4478,5035,3967,3207,1.26E+31,1.26E+31,2.96,2.072,1.37,13.63,15.77,1.817,0.1384,1.715
