,DateRead,influent_mgd,treatFlow_mgd,ammonia_ppm,nitrate_ppm,rain_inches,cluster
0,2017-01-03,385.083038,365.349792,1.331837,2.238841,0.86,0
1,2017-01-23,365.222504,365.222717,0.542289,2.27533,0.67,0
2,2017-03-14,367.054504,367.054718,0.119269,2.352358,0.89,0
3,2017-03-19,400.720337,400.720306,0.432802,2.479216,0.26,0
4,2017-03-31,393.394104,383.365509,1.323774,2.496545,0.96,0
5,2017-04-06,430.112488,388.649323,0.933356,2.518891,1.57,0
6,2017-04-07,340.886322,340.885956,0.261376,2.65455,0.0,0
7,2017-05-05,460.868896,413.201935,2.03493,2.521552,1.75,0
8,2017-05-06,338.462555,338.462463,0.127958,2.469686,0.07,0
9,2017-05-11,409.823517,391.930023,1.988989,2.345117,1.04,0
10,2017-05-13,433.903778,432.135925,0.544842,2.859542,0.51,0
11,2017-05-25,427.315704,427.315674,1.959865,2.52314,0.75,0
12,2017-07-06,348.13092,348.131348,0.757164,2.676658,0.87,0
13,2017-07-24,359.522919,348.458344,0.373377,2.383847,0.0,0
14,2017-07-28,449.614532,360.801361,0.525061,2.115897,3.31,0
15,2017-07-29,515.735962,433.520569,0.40125,2.83746,0.47,0
16,2017-08-07,403.881287,387.174469,0.220251,2.447456,1.47,0
17,2017-08-29,346.96344,346.963531,0.102909,2.885196,0.98,0
18,2017-11-07,361.913696,347.803314,0.542077,2.517815,1.07,0
19,2018-02-04,353.900085,332.240051,0.569394,2.650085,1.12,0
20,2018-02-10,369.175537,340.92688,0.748863,2.587824,1.06,0
21,2018-02-11,542.177063,482.618958,2.232944,2.734841,1.05,0
22,2018-02-12,356.494324,356.494751,0.237437,2.109325,0.09,0
23,2018-03-20,344.200165,362.3013,1.050263,2.247005,0.87,0
24,2018-04-16,430.096924,477.500488,3.993293,2.979136,1.88,0
25,2018-04-25,361.644653,381.261963,2.176389,2.844184,0.32,0
26,2018-04-27,387.117279,427.242279,0.955889,2.630769,0.72,0
27,2018-05-15,380.676788,451.350677,1.626755,2.754605,0.41,0
28,2018-05-16,360.339294,381.13501,0.279689,2.711375,0.82,0
29,2018-05-17,502.778564,528.192505,0.758024,2.783406,0.97,0
30,2018-05-18,539.348755,539.518616,0.111374,2.01052,1.01,0
31,2018-05-19,525.65271,530.075134,1.751962,5.394731,0.77,0
32,2018-05-20,403.330963,410.101288,25.054081,2.144834,0.0,0
33,2018-05-21,352.350739,352.3526,25.070557,2.463504,0.0,0
34,2018-05-22,385.733856,391.587738,0.181838,2.605506,1.23,0
35,2018-05-23,379.079926,445.940979,0.410932,2.571738,0.0,0
36,2018-06-01,352.938812,409.795319,1.126096,2.680242,0.0,0
37,2018-06-03,417.772064,422.160187,0.229581,2.746747,1.65,0
38,2018-06-04,447.610626,491.619873,0.154003,2.371196,0.0,0
39,2018-06-05,356.379242,356.381042,0.198046,2.410199,0.0,0
40,2018-06-11,341.516663,356.568848,0.227784,2.582603,0.42,0
41,2018-06-19,336.22821,352.167145,0.292813,2.548731,1.12,0
42,2018-07-21,363.6987,366.717438,0.619983,2.703864,4.0,0
43,2018-07-22,502.751953,529.798462,0.386223,2.723042,1.35,0
44,2018-07-23,449.364624,491.174805,0.234389,2.475338,0.06,0
45,2018-07-24,399.661896,418.091064,0.215581,2.845385,0.32,0
46,2018-07-25,379.119293,386.429626,0.191609,2.558285,0.67,0
47,2018-07-26,419.884552,472.420441,0.172125,2.666192,0.0,0
48,2018-07-30,331.352509,362.432556,0.089599,2.760578,0.51,0
49,2018-08-01,383.280182,394.691498,0.434132,3.070504,0.25,0
50,2018-08-02,411.16629,436.978088,0.262555,2.965549,1.03,0
51,2018-08-03,381.054352,429.818024,0.447517,2.354901,0.31,0
52,2018-08-04,347.871918,351.002716,0.510966,2.410713,0.11,0
53,2018-08-07,336.531921,336.537018,0.574094,2.563272,0.12,0
54,2018-08-21,377.943359,381.854736,0.312952,2.826618,2.46,0
