,DateRead,influent_mgd,treatFlow_mgd,ammonia_ppm,nitrate_ppm,rain_inches,cluster,rank,prob_exceed
0,2017-01-01,226.085678,226.084549,0.164921,1.958987,0.0,0,118.0,10.734896632332532
1,2017-01-02,276.365021,276.36496,0.155143,2.002849,0.35,0,84.0,7.630214040470451
2,2017-01-03,385.083038,365.349792,1.331837,2.238841,0.86,1,46.0,4.160274673095186
3,2017-01-04,267.641998,267.641693,0.37283,2.216766,0.0,0,118.0,10.734896632332532
4,2017-01-05,249.852646,249.852692,0.133541,2.116311,0.0,0,118.0,10.734896632332532
5,2017-01-06,245.240234,245.240204,0.170711,2.310498,0.0,0,118.0,10.734896632332532
6,2017-01-07,237.295395,237.295151,0.75013,2.911169,0.01,0,117.0,10.643582438454233
7,2017-01-08,244.388412,244.388107,0.17256,2.499912,0.0,0,118.0,10.734896632332532
8,2017-01-09,251.142197,251.142624,0.164624,2.344804,0.0,0,118.0,10.734896632332532
9,2017-01-10,250.988235,250.988388,0.176566,2.426418,0.0,0,118.0,10.734896632332532
10,2017-01-11,255.506332,255.506485,0.191156,2.408936,0.07,0,111.0,10.095697275184456
11,2017-01-12,249.097549,249.098068,0.200088,2.470094,0.02,0,116.0,10.552268244575938
12,2017-01-13,245.359421,245.359314,0.161486,2.201848,0.0,0,118.0,10.734896632332532
13,2017-01-14,265.048981,265.049011,0.292051,2.507657,0.29,0,89.0,8.086785009861934
14,2017-01-15,249.350311,249.350281,0.589901,2.641144,0.0,0,118.0,10.734896632332532
15,2017-01-16,245.875351,245.875534,6.907407,1.370845,0.01,0,117.0,10.643582438454233
16,2017-01-17,279.275208,279.275726,2.3727,2.852719,0.21,0,97.0,8.817298560888306
17,2017-01-18,247.041092,247.040817,0.693511,2.7522,0.0,0,118.0,10.734896632332532
18,2017-01-19,247.680313,247.680496,0.402021,2.699634,0.0,0,118.0,10.734896632332532
19,2017-01-20,247.628021,247.627731,0.384394,2.708858,0.01,0,117.0,10.643582438454233
20,2017-01-21,250.335052,250.335068,0.345076,2.339946,0.0,0,118.0,10.734896632332532
21,2017-01-22,252.92482,252.924225,0.332748,2.166131,0.15,0,103.0,9.365183724158085
22,2017-01-23,365.222504,365.222717,0.542289,2.27533,0.67,1,59.0,5.34735919351304
23,2017-01-24,283.037018,283.036652,0.752923,2.553997,0.03,0,115.0,10.460954050697643
24,2017-01-25,258.228455,258.228729,0.107967,2.084496,0.0,0,118.0,10.734896632332532
25,2017-01-26,258.463623,258.463776,0.112771,2.039294,0.0,0,118.0,10.734896632332532
26,2017-01-27,252.766296,252.7659,0.122468,2.069152,0.0,0,118.0,10.734896632332532
27,2017-01-28,247.689117,247.689606,0.11975,2.087324,0.0,0,118.0,10.734896632332532
28,2017-01-29,241.151321,241.151215,0.124439,2.020134,0.0,0,118.0,10.734896632332532
29,2017-01-30,248.453094,248.453293,0.12029,2.01201,0.07,0,111.0,10.095697275184456
30,2017-01-31,248.657272,248.657486,0.127655,2.058662,0.0,0,118.0,10.734896632332532
31,2017-02-01,249.576492,249.576767,0.135771,2.135442,0.0,0,118.0,10.734896632332532
32,2017-02-02,251.523468,251.523239,0.120943,2.213688,0.0,0,118.0,10.734896632332532
33,2017-02-03,249.355347,249.355392,0.122445,2.215418,0.0,0,118.0,10.734896632332532
34,2017-02-04,259.126831,259.126709,0.123257,2.230057,0.0,0,118.0,10.734896632332532
35,2017-02-05,256.495117,256.494934,0.118526,2.064389,0.0,0,118.0,10.734896632332532
36,2017-02-06,252.149673,252.149704,0.117419,1.706248,0.0,0,118.0,10.734896632332532
37,2017-02-07,242.649094,242.649506,0.111959,1.718576,0.0,0,118.0,10.734896632332532
38,2017-02-08,245.766068,245.766037,0.110946,1.788863,0.0,0,118.0,10.734896632332532
39,2017-02-09,249.482269,249.482483,0.116511,1.864208,0.12,0,106.0,9.639126305792974
40,2017-02-10,238.857315,238.857391,0.124912,2.092932,0.0,0,118.0,10.734896632332532
41,2017-02-11,233.31778,233.31752,0.131842,2.101796,0.0,0,118.0,10.734896632332532
42,2017-02-12,236.188263,236.188065,0.122748,2.070692,0.03,0,115.0,10.460954050697643
