,t,srtSRTtotal,q11,vss11,scod11,cod11,bod11,snh11,tkn11,initial_bod,bod_performance
1,0.0,3.194,2.96,1.368,13.63,15.76,1.814,0.1384,1.715,1.825,100.0
2,0.05,3.227,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
3,0.1,3.224,2.96,1.368,13.63,15.76,1.815,0.1384,1.715,1.825,100.0
4,0.15,3.219,2.96,1.369,13.63,15.77,1.815,0.1384,1.715,1.825,100.0
5,0.2,3.212,2.96,1.37,13.63,15.77,1.816,0.1384,1.715,1.825,100.0
6,0.25,3.206,2.96,1.37,13.63,15.77,1.816,0.1384,1.715,1.825,100.0
7,0.3,3.202,2.96,1.371,13.63,15.77,1.816,0.1384,1.715,1.825,100.0
8,0.35,3.198,2.96,1.371,13.63,15.77,1.816,0.1384,1.715,1.825,100.0
9,0.4,3.196,2.96,1.37,13.63,15.77,1.816,0.1384,1.715,1.825,100.0
10,0.45,3.195,2.96,1.37,13.63,15.77,1.817,0.1384,1.715,1.825,100.0
11,0.5,3.194,2.96,1.37,13.64,15.77,1.817,0.1383,1.715,1.825,100.0
12,0.55,3.193,2.96,1.37,13.64,15.77,1.817,0.1383,1.715,1.825,100.0
13,0.6,3.193,2.96,1.37,13.64,15.77,1.818,0.1382,1.714,1.825,100.0
14,0.65,3.193,2.96,1.37,13.64,15.77,1.819,0.1381,1.714,1.825,100.0
15,0.7,3.193,2.96,1.369,13.64,15.77,1.821,0.138,1.714,1.825,100.0
16,0.75,3.193,2.96,1.369,13.64,15.77,1.822,0.1379,1.713,1.825,100.0
17,0.8,3.193,2.96,1.369,13.64,15.78,1.823,0.1378,1.713,1.825,100.0
18,0.85,3.193,2.96,1.369,13.65,15.78,1.825,0.1376,1.713,1.825,100.0
19,0.9,3.193,2.96,1.369,13.65,15.78,1.827,0.1375,1.712,1.825,99.78106185002737
20,0.95,3.193,2.96,1.369,13.65,15.78,1.828,0.1374,1.712,1.825,99.67177242888401
21,1.0,3.193,2.96,1.369,13.65,15.78,1.829,0.1373,1.712,1.825,99.56260251503554
22,1.05,3.191,3.08,1.369,13.65,15.79,1.83,0.1373,1.712,1.825,99.4535519125683
23,1.1,3.049,8.315,1.373,13.66,15.79,1.833,0.1372,1.712,1.825,99.12711402073104
24,1.15,1.813,22.32,1.539,13.66,16.05,1.93,0.1372,1.728,1.825,89.11917098445596
25,1.2,0.4775,21.58,2.986,13.66,18.32,2.775,0.1408,1.873,1.825,31.53153153153153
26,1.25,0.3988,16.13,4.725,13.86,21.24,4.006,0.2445,2.15,1.825,-8.886669995007491
27,1.3,0.5257,12.19,4.664,14.24,21.52,4.455,0.5453,2.459,1.825,-18.0695847362514
