,influent
0,328.7483366623987
1,293.36754833990074
2,340.2076033380023
3,314.8198600049992
4,375.1575199900978
5,326.05033833319726
6,306.12672333800157
7,289.9677133415016
8,271.6728999902987
9,271.0843516738997
10,301.9947883274006
11,320.2445016611988
12,302.56952666380073
13,342.12692666510173
14,308.62590000610135
15,313.4333000048012
16,289.91640833470103
17,297.50870667149906
18,286.1871950046999
19,287.13506833850045
20,276.38866332540067
21,313.00659666410075
22,311.3973466624991
23,285.4150300016002
24,331.961340003502
25,314.95592999989884
26,339.4235050080011
27,319.4453733276982
28,296.6563133407978
29,308.02205499310014
30,341.22862332960034
31,322.0989199836996
32,330.68294498179694
33,317.1893683290018
34,316.5072116781004
35,286.9532450006005
36,324.0680933366991
37,335.1176333377003
38,358.93257333219884
39,330.81255167380044
40,336.32258833730083
41,311.14621500079994
42,307.68933833539904
43,292.0429766732007
44,278.4801649968997
45,328.2056050035009
46,292.15055833670004
47,324.64555834019956
48,312.66481500509957
49,328.1547549972003
50,292.5306216780999
51,293.8191649998002
52,315.9790366772002
53,301.1961266717999
54,343.2999683239008
55,311.9459183357
56,342.7104666804985
57,334.3310600054007
58,341.6690999997015
59,340.9914700001018
60,304.2804183385004
61,295.30921166799965
62,323.40996166739995
63,311.7683449991999
64,349.1107583428009
65,331.1227233311007
66,323.30004665709987
67,296.1398533385008
68,291.91595166859895
69,331.3384500103982
70,339.46006667370034
71,316.0411900101999
72,313.44112999919884
73,337.73830834199964
74,343.17852999000127
75,344.42171998899994
76,349.2554083163022
77,354.08198666270016
78,347.90914666399965
79,357.6006233194007
80,361.84305331799936
81,372.5253833174018
82,359.91492833859894
83,384.79186331689965
84,343.5436716633003
85,335.7269033369003
86,370.02581331079904
87,345.11166166550026
88,363.0786800021976
89,327.8493099850008
90,317.36613000809984
91,345.50127665650257
92,365.4408516594989
93,351.3548483389006
94,352.88500832240044
95,350.6145899935995
96,356.76882000480043
97,314.5395233433995
98,347.9069816702996
99,341.3473549843989
100,331.42263499350054
101,338.3852499992009
102,359.0640733275992
103,342.1668233179005
104,364.73435664309926
105,329.085263328001
106,319.00155500809956
107,422.07291165850023
108,540.0679999914007
109,536.4634783286978
110,526.8704083306976
111,527.4447449978953
112,538.4107816632966
113,518.444510001997
114,497.094111662398
115,323.2791466595004
116,333.19162166490077
117,265.5446208360988
118,305.26472000779887
119,281.98604000629956
120,310.03782000250015
121,343.2146900099983
122,307.51112500359903
123,331.2488133288003
124,363.56785833549793
125,359.06684499379935
