,ARI,MRI,SD,NH4R,NO3-R,TINR,NH4T,NO3T,TINT,NH4M,NO3M,TINM
ARI,0,0.002008276,0.492726245,0.570156321,0.608149066,0.693238812,0.119529806,0.455644891,0.119529806,0.182720751,0.530922862,0.455644891
MRI,0.002008276,0,0.319888641,0.419753086,0.301266633,0.492726245,0.319888641,0.085558891,0.014902668,0.492726245,0.20703125,0.82250543
SD,0.492726245,0.319888641,0,0.289403225,0.649410201,0.260404767,0.351812553,0.260404767,0.138959957,0.319888641,0.260404767,0.492726245
NH4R,0.570156321,0.419753086,0.289403225,0,0.670344277,3.31E-05,0.693238812,0.778885726,0.455644891,0.610344416,0.693238812,0.260404767
NO3-R,0.608149066,0.301266633,0.649410201,0.670344277,2.74E-47,0.734221475,0.509054073,0.471260529,0.777583044,0.116753544,0.712761708,0.090890436
TINR,0.693238812,0.492726245,0.260404767,3.31E-05,0.734221475,0,0.778885726,0.651401496,0.492726245,0.570156321,0.73576486,0.351812553
NH4T,0.119529806,0.319888641,0.351812553,0.693238812,0.509054073,0.778885726,0,0.910849169,0.351812553,0.020815127,0.73576486,0.232935535
NO3T,0.455644891,0.085558891,0.260404767,0.778885726,0.471260529,0.651401496,0.910849169,0,0.020815127,0.910849169,0.046528232,0.955374012
TINT,0.119529806,0.014902668,0.138959957,0.455644891,0.777583044,0.492726245,0.351812553,0.020815127,0,0.385120644,0.00385032,0.73576486
NH4M,0.182720751,0.492726245,0.319888641,0.610344416,0.116753544,0.570156321,0.020815127,0.910849169,0.385120644,0,0.492726245,0.006530017
NO3M,0.530922862,0.20703125,0.260404767,0.693238812,0.712761708,0.73576486,0.73576486,0.046528232,0.00385032,0.492726245,0,0.778885726
TINM,0.455644891,0.82250543,0.492726245,0.260404767,0.090890436,0.351812553,0.232935535,0.955374012,0.73576486,0.006530017,0.778885726,0
