,ARI,MRI,SD,NH4R,NO3-R,TINR,NH4T,NO3T,TINT,NH4M,NO3M,TINM
ARI,1,0.904761905,0.285714286,0.238095238,0.215572727,0.166666667,0.595238095,0.30952381,0.595238095,0.523809524,-0.261904762,0.30952381
MRI,0.904761905,1,0.404761905,0.333333333,0.419169192,0.285714286,0.404761905,0.642857143,0.80952381,0.285714286,-0.5,0.095238095
SD,0.285714286,0.404761905,1,-0.428571429,0.191620202,-0.452380952,0.380952381,0.452380952,0.571428571,0.404761905,-0.452380952,0.285714286
NH4R,0.238095238,0.333333333,-0.428571429,1,0.179643939,0.976190476,0.166666667,0.119047619,0.30952381,-0.214285714,-0.166666667,-0.452380952
NO3-R,0.215572727,0.419169192,0.191620202,0.179643939,1,0.143715151,-0.27545404,0.299406565,0.119762626,-0.598813131,0.155691414,-0.634741919
TINR,0.166666667,0.285714286,-0.452380952,0.976190476,0.143715151,1,0.119047619,0.19047619,0.285714286,-0.238095238,-0.142857143,-0.380952381
NH4T,0.595238095,0.404761905,0.380952381,0.166666667,-0.27545404,0.119047619,1,-0.047619048,0.380952381,0.785714286,-0.142857143,0.476190476
NO3T,0.30952381,0.642857143,0.452380952,0.119047619,0.299406565,0.19047619,-0.047619048,1,0.785714286,-0.047619048,-0.714285714,0.023809524
TINT,0.595238095,0.80952381,0.571428571,0.30952381,0.119762626,0.285714286,0.380952381,0.785714286,1,0.357142857,-0.880952381,0.142857143
NH4M,0.523809524,0.285714286,0.404761905,-0.214285714,-0.598813131,-0.238095238,0.785714286,-0.047619048,0.357142857,1,-0.285714286,0.857142857
NO3M,-0.261904762,-0.5,-0.452380952,-0.166666667,0.155691414,-0.142857143,-0.142857143,-0.714285714,-0.880952381,-0.285714286,1,-0.119047619
TINM,0.30952381,0.095238095,0.285714286,-0.452380952,-0.634741919,-0.380952381,0.476190476,0.023809524,0.142857143,0.857142857,-0.119047619,1
,,,,,,,,,,,,
,ARI,MRI,SD,NH4R,NO3-R,TINR,NH4T,NO3T,TINT,NH4M,NO3M,TINM
ARI,0,0.002008276,0.492726245,0.570156321,0.608149066,0.693238812,0.119529806,0.455644891,0.119529806,0.182720751,0.530922862,0.455644891
MRI,0.002008276,0,0.319888641,0.419753086,0.301266633,0.492726245,0.319888641,0.085558891,0.014902668,0.492726245,0.20703125,0.82250543
SD,0.492726245,0.319888641,0,0.289403225,0.649410201,0.260404767,0.351812553,0.260404767,0.138959957,0.319888641,0.260404767,0.492726245
NH4R,0.570156321,0.419753086,0.289403225,0,0.670344277,3.31E-05,0.693238812,0.778885726,0.455644891,0.610344416,0.693238812,0.260404767
NO3-R,0.608149066,0.301266633,0.649410201,0.670344277,2.74E-47,0.734221475,0.509054073,0.471260529,0.777583044,0.116753544,0.712761708,0.090890436
TINR,0.693238812,0.492726245,0.260404767,3.31E-05,0.734221475,0,0.778885726,0.651401496,0.492726245,0.570156321,0.73576486,0.351812553
NH4T,0.119529806,0.319888641,0.351812553,0.693238812,0.509054073,0.778885726,0,0.910849169,0.351812553,0.020815127,0.73576486,0.232935535
NO3T,0.455644891,0.085558891,0.260404767,0.778885726,0.471260529,0.651401496,0.910849169,0,0.020815127,0.910849169,0.046528232,0.955374012
TINT,0.119529806,0.014902668,0.138959957,0.455644891,0.777583044,0.492726245,0.351812553,0.020815127,0,0.385120644,0.00385032,0.73576486
NH4M,0.182720751,0.492726245,0.319888641,0.610344416,0.116753544,0.570156321,0.020815127,0.910849169,0.385120644,0,0.492726245,0.006530017
NO3M,0.530922862,0.20703125,0.260404767,0.693238812,0.712761708,0.73576486,0.73576486,0.046528232,0.00385032,0.492726245,0,0.778885726
TINM,0.455644891,0.82250543,0.492726245,0.260404767,0.090890436,0.351812553,0.232935535,0.955374012,0.73576486,0.006530017,0.778885726,0
