,datetime,influent_flow_imp,ammonia_ppm_imp,nitrate_ppm_imp,nitrite_ppm_imp,mean_prcp,season,event,,timeDay,,,,,,,,,
0,4/1/2018 0:00,286.2233333,0.207515,2.420154833,0.032661333,0,Spring,Dry,0,Night,484,,,,,,,5,Morning
1,4/1/2018 1:00,285.7266667,0.1756925,2.342235333,0.031590333,0,Spring,Dry,1,Night,0.04,,,,,,,12,Afternoon
2,4/1/2018 2:00,272.6683333,0.188195667,2.336597,0.031049,0,Spring,Dry,2,Night,,,,,,,,17,Evening
3,4/1/2018 3:00,256.01,0.174396833,2.314884,0.03084,0,Spring,Dry,3,Night,,,,,,,,21,Night
4,4/1/2018 4:00,243.0183333,0.167132833,2.300449833,0.028687,0,Spring,Dry,4,Night,,,,,,,,,
5,4/1/2018 5:00,221.4316667,0.162141,2.291172,0.028687,0,Spring,Dry,5,Morning,,,,,,,,,
6,4/1/2018 6:00,193.0516667,0.160599,2.270698333,0.02913,0,Spring,Dry,6,Morning,,,,,,,,,
7,4/1/2018 7:00,176.8883333,0.161329,2.270977,0.030901167,0,Spring,Dry,7,Morning,,,,,,,,,
8,4/1/2018 8:00,164.4533333,0.170983833,2.205478667,0.03052,0,Spring,Dry,8,Morning,,,,,,,,,
9,4/1/2018 9:00,167.285,0.187428667,2.1247215,0.033314,0,Spring,Dry,9,Morning,,,,,,,,,
10,4/1/2018 10:00,177.6933333,0.146553667,2.064247333,0.042689,0,Spring,Dry,10,Morning,,,,,,,,,
11,4/1/2018 11:00,200.92,0.176587167,2.120567,0.037156,0,Spring,Dry,11,Morning,,,,,,,,,
12,4/1/2018 12:00,230.2066667,0.182592333,2.097507667,0.081030667,0,Spring,Dry,12,Afternoon,,,,,,,,,
13,4/1/2018 13:00,299.4966667,0.187995,2.131702333,0.1066345,0,Spring,Dry,13,Afternoon,,,,,,,,,
14,4/1/2018 14:00,294.765,0.1630715,2.274493833,0.117006333,0,Spring,Dry,14,Afternoon,,,,,,,,,
15,4/1/2018 15:00,293.5133333,0.178293667,2.1929205,0.097083667,0,Spring,Dry,15,Afternoon,,,,,,,,,
16,4/1/2018 16:00,295.2733333,0.162952833,2.128840667,0.037079,0,Spring,Dry,16,Afternoon,,,,,,,,,
17,4/1/2018 17:00,292.0233333,0.156418833,2.119415167,0.035677667,0,Spring,Dry,17,Evening,,,,,,,,,
18,4/1/2018 18:00,309.4933333,0.154876,2.214851667,0.029904667,0,Spring,Dry,18,Evening,,,,,,,,,
19,4/1/2018 19:00,331.5933333,0.159986667,2.321338,0.029917167,0,Spring,Dry,19,Evening,,,,,,,,,
20,4/1/2018 20:00,311.8816667,0.1771985,2.316661333,0.028908167,0,Spring,Dry,20,Evening,,,,,,,,,
21,4/1/2018 21:00,293.6,0.160881333,2.401889167,0.029904667,0,Spring,Dry,21,Night,,,,,,,,,
22,4/1/2018 22:00,292.505,0.175245667,2.517360333,0.030212,0,Spring,Dry,22,Night,,,,,,,,,
23,4/1/2018 23:00,298.2666667,0.2001235,2.523113,0.030285833,0,Spring,Dry,23,Night,,,,,,,,,
24,4/2/2018 0:00,285.345,0.206703833,2.5050085,0.030225333,0,Spring,Dry,0,Night,,,,,,,,,
25,4/2/2018 1:00,271.645,0.180602667,2.383777333,0.028981833,0,Spring,Dry,1,Night,,,,,,,,,
26,4/2/2018 2:00,232.29,0.194447167,2.301562333,0.029769667,0.0125,Spring,Dry,2,Night,,,,,,,,,
27,4/2/2018 3:00,242.9633333,0.171148333,2.1179295,0.027924,0.02125,Spring,Dry,3,Night,,,,,,,,,
28,4/2/2018 4:00,225.825,0.183121833,2.107836167,0.028292667,0.00875,Spring,Dry,4,Night,,,,,,,,,
29,4/2/2018 5:00,200.8383333,0.178293667,2.060583,0.029904667,0.015,Spring,Dry,5,Morning,,,,,,,,,
30,4/2/2018 6:00,191.8983333,0.1680635,2.018107667,0.030212,0,Spring,Dry,6,Morning,,,,,,,,,
31,4/2/2018 7:00,197.1483333,0.183852,2.036225667,0.030138333,0.00125,Spring,Dry,7,Morning,,,,,,,,,
32,4/2/2018 8:00,215.9966667,0.187219333,2.0996675,0.030421,0,Spring,Dry,8,Morning,,,,,,,,,
33,4/2/2018 9:00,232.635,0.196756333,2.117691833,0.032514167,0,Spring,Dry,9,Morning,,,,,,,,,
