,datetime,influent_flow_imp,Day
0,2018-04-01,257.83284722222226,Sunday
1,2018-04-02,253.75326388888888,Monday
2,2018-04-03,253.04250000000005,Tuesday
3,2018-04-04,256.6300694444445,Wednesday
4,2018-04-05,257.0197222222222,Thursday
5,2018-04-06,260.25548611111105,Friday
6,2018-04-07,248.79465277777777,Saturday
7,2018-04-08,250.4952083333333,Sunday
8,2018-04-09,257.886875,Monday
9,2018-04-10,253.40555555555554,Tuesday
10,2018-04-11,251.7788888888889,Wednesday
11,2018-04-12,249.81083333333342,Thursday
12,2018-04-13,257.01701388888887,Friday
13,2018-04-14,245.66597222222222,Saturday
14,2018-04-15,261.2811111111111,Sunday
15,2018-04-16,430.23020833333334,Monday
16,2018-04-17,289.06145833333335,Tuesday
17,2018-04-18,274.46208333333334,Wednesday
18,2018-04-19,273.78562500000004,Thursday
19,2018-04-20,257.1645138888889,Friday
20,2018-04-21,247.0935416666666,Saturday
21,2018-04-22,251.72069444444443,Sunday
22,2018-04-23,259.35208333333327,Monday
23,2018-04-24,274.99618055555555,Tuesday
24,2018-04-25,361.6446527777778,Wednesday
25,2018-04-26,272.56458333333336,Thursday
26,2018-04-27,386.8907638888889,Friday
27,2018-04-28,290.3586111111111,Saturday
28,2018-04-29,275.09687499999995,Sunday
29,2018-04-30,274.156875,Monday
30,2018-05-01,266.32687500000003,Tuesday
31,2018-05-02,269.95576388888884,Wednesday
32,2018-05-03,271.4922222222222,Thursday
33,2018-05-04,275.1927083333333,Friday
34,2018-05-05,261.7360416666666,Saturday
35,2018-05-06,253.12993055555557,Sunday
36,2018-05-07,257.3777083333334,Monday
37,2018-05-08,257.84638888888895,Tuesday
38,2018-05-09,255.81590277777786,Wednesday
39,2018-05-10,254.91493055555557,Thursday
40,2018-05-11,255.36090277777785,Friday
41,2018-05-12,263.9545138888889,Saturday
42,2018-05-13,304.17625000000004,Sunday
43,2018-05-14,307.51409722222223,Monday
44,2018-05-15,380.6767361111112,Tuesday
45,2018-05-16,360.33895833333344,Wednesday
46,2018-05-17,502.7793750000001,Thursday
47,2018-05-18,539.374375,Friday
48,2018-05-19,525.6516666666668,Saturday
49,2018-05-20,403.36090277777777,Sunday
50,2018-05-21,352.3879861111111,Monday
51,2018-05-22,385.81256944444436,Tuesday
52,2018-05-23,379.0856944444444,Wednesday
53,2018-05-24,312.6915277777778,Thursday
54,2018-05-25,317.36215277777785,Friday
55,2018-05-26,316.115,Saturday
56,2018-05-27,293.8025694444445,Sunday
57,2018-05-28,279.32423611111113,Monday
58,2018-05-29,287.3078472222222,Tuesday
59,2018-05-30,288.86819444444444,Wednesday
60,2018-05-31,325.3113194444444,Thursday
61,2018-06-01,352.95666666666665,Friday
62,2018-06-02,305.2530555555556,Saturday
63,2018-06-03,418.0745138888888,Sunday
64,2018-06-04,447.54618055555557,Monday
65,2018-06-05,356.37902777777776,Tuesday
66,2018-06-06,318.03215277777775,Wednesday
67,2018-06-07,302.70423611111113,Thursday
68,2018-06-08,304.9264583333333,Friday
69,2018-06-09,319.9877777777778,Saturday
70,2018-06-10,300.90361111111105,Sunday
71,2018-06-11,341.50562499999995,Monday
72,2018-06-12,286.3979166666666,Tuesday
73,2018-06-13,295.9822222222222,Wednesday
74,2018-06-14,291.9561805555556,Thursday
75,2018-06-15,277.718125,Friday
76,2018-06-16,268.9829861111111,Saturday
77,2018-06-17,262.4334722222222,Sunday
78,2018-06-18,277.0354861111111,Monday
79,2018-06-19,335.7163059513889,Tuesday
80,2018-06-20,300.0575694444445,Wednesday
81,2018-06-21,295.5386111111111,Thursday
82,2018-06-22,331.73541666666665,Friday
83,2018-06-23,284.14145833333333,Saturday
84,2018-06-24,282.0788888888889,Sunday
85,2018-06-25,273.92187499999994,Monday
86,2018-06-26,259.6126388888889,Tuesday
87,2018-06-27,275.7602777777778,Wednesday
88,2018-06-28,265.9419444444444,Thursday
89,2018-06-29,263.7544444444444,Friday
90,2018-06-30,245.65750000000003,Saturday
91,2018-07-01,250.1365277777778,Sunday
92,2018-07-02,261.70104166666664,Monday
93,2018-07-03,266.58152777777775,Tuesday
94,2018-07-04,255.8795138888889,Wednesday
95,2018-07-05,259.1230555555555,Thursday
96,2018-07-06,258.4046527777778,Friday
97,2018-07-07,246.0884722222222,Saturday
98,2018-07-08,249.58083333333335,Sunday
99,2018-07-09,254.85694444444445,Monday
100,2018-07-10,253.15847222222214,Tuesday
101,2018-07-11,293.1899999999998,Wednesday
102,2018-07-12,281.0929861111112,Thursday
103,2018-07-13,251.67645833333327,Friday
104,2018-07-14,233.92222222222225,Saturday
105,2018-07-15,237.06833333333338,Sunday
106,2018-07-16,249.92118055555554,Monday
107,2018-07-17,321.10201388888885,Tuesday
108,2018-07-18,262.24847222222223,Wednesday
109,2018-07-19,253.19819444444445,Thursday
110,2018-07-20,244.24326388888892,Friday
111,2018-07-21,370.3597222222222,Saturday
112,2018-07-22,502.91291666666666,Sunday
113,2018-07-23,449.3914583333332,Monday
114,2018-07-24,399.61340277777776,Tuesday
115,2018-07-25,378.97555555555556,Wednesday
116,2018-07-26,419.8855555555556,Thursday
117,2018-07-27,329.3119444444444,Friday
118,2018-07-28,290.1193055555556,Saturday
119,2018-07-29,284.6224305555556,Sunday
120,2018-07-30,331.3556944444444,Monday
121,2018-07-31,301.7746527777778,Tuesday
122,2018-08-01,383.2904166666667,Wednesday
123,2018-08-02,411.3829166666667,Thursday
124,2018-08-03,381.0410416666666,Friday
125,2018-08-04,347.87208333333336,Saturday
126,2018-08-05,318.65465277777776,Sunday
127,2018-08-06,314.5729861111111,Monday
128,2018-08-07,336.5715277777778,Tuesday
129,2018-08-08,308.5134027777778,Wednesday
130,2018-08-09,298.64736111111114,Thursday
131,2018-08-10,300.709375,Friday
132,2018-08-11,289.1908333333334,Saturday
133,2018-08-12,302.9565277777777,Sunday
134,2018-08-13,297.6004166666667,Monday
135,2018-08-14,291.9552777777778,Tuesday
136,2018-08-15,289.7447916666667,Wednesday
137,2018-08-16,285.0944444444445,Thursday
138,2018-08-17,291.18104166666666,Friday
139,2018-08-18,285.7527777777778,Saturday
140,2018-08-19,275.8034722222223,Sunday
