,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,0.0938,0.2325,0.4822,1.0,0.0014,0.0003
1,0.0874,0.1368,0.3698,1.0,0.0013,0.0003
2,0.0876,0.1704,0.4127,1.0,0.0013,0.0003
3,0.0833,0.2266,0.476,1.0,0.0015,0.0003
4,0.0912,0.2645,0.5143,1.0,0.0021,0.0003
5,0.0942,0.1894,0.4352,1.0,0.0017,0.0003
6,0.0984,0.2806,0.5297,1.0,0.0032,0.0004
7,0.08,0.1381,0.3716,1.0,0.0013,0.0003
8,0.1043,0.3346,0.5784,0.9999,0.0027,0.0004
9,0.0882,0.1879,0.4334,1.0,0.0018,0.0003
Mean,0.0908,0.2161,0.4603,1.0,0.0018,0.0003
SD,0.0068,0.0608,0.0649,0.0,0.0006,0.0
