,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,0.187,0.6311,0.7944,0.9999,0.0024,0.0006
1,0.1717,0.4654,0.6822,0.9999,0.0025,0.0005
2,0.168,0.4614,0.6792,0.9999,0.0021,0.0005
3,0.17,0.5339,0.7307,0.9999,0.0024,0.0005
4,0.1774,0.6578,0.811,0.9999,0.0031,0.0006
5,0.1816,0.6063,0.7786,0.9999,0.0029,0.0006
6,0.1925,0.8699,0.9327,0.9999,0.0049,0.0007
7,0.1734,0.5196,0.7209,0.9999,0.0025,0.0005
8,0.1975,0.8969,0.947,0.9999,0.004,0.0007
9,0.182,0.5897,0.7679,0.9999,0.0028,0.0006
Mean,0.1801,0.6232,0.7845,0.9999,0.003,0.0006
SD,0.0094,0.1443,0.0883,0.0,0.0008,0.0001
