,datetime,mean_prcp_imp,prcp_1yr,prcp_2yr,prcp_5yr,int_one,int_two,int_five,influent_flow_imp,influent_flow_east_imp,influent_flow_west_imp,complete_flow_imp,ammonia_ppm_imp,nitrate_ppm_imp,nitrite_ppm_imp,orthophosphate_imp,TIN,performance
37020,2018-12-13 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.2,202.75,115.52,316.2,0.240707,2.012939,0.031738,0.02,2.2853839999999996,100.0
37021,2018-12-13 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.53,202.74,115.65,316.53,0.240707,2.012939,0.031738,0.02,2.2853839999999996,100.0
37022,2018-12-13 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.72,202.01,115.76,315.72,0.240707,2.012939,0.031738,0.02,2.2853839999999996,100.0
37023,2018-12-13 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.82,204.09,115.89,317.83,0.240707,2.012939,0.031738,0.02,2.2853839999999996,99.99685356491096
37024,2018-12-13 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.37,205.43,115.83,319.38,0.23948000000000003,1.9759950000000002,0.031856,0.02,2.247331,99.99686883551993
37025,2018-12-13 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.64,204.72,115.8,318.64,0.23689200000000002,1.90155,0.032119999999999996,0.02,2.1705620000000003,100.0
37026,2018-12-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.87,203.46,115.48,316.87,0.23689200000000002,1.90155,0.032119999999999996,0.02,2.1705620000000003,100.0
37027,2018-12-14 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.26,208.21,116.07,322.27,0.23689200000000002,1.90155,0.032119999999999996,0.02,2.1705620000000003,99.99689691553404
37028,2018-12-14 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.14,209.13,115.75,323.15,0.23689200000000002,1.90155,0.032119999999999996,0.02,2.1705620000000003,99.99690536609519
37029,2018-12-14 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.41,210.7,115.74,324.41,0.23689200000000002,1.90155,0.032119999999999996,0.02,2.1705620000000003,100.0
37030,2018-12-14 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.03,209.16,115.96,323.04,0.28597399999999995,1.880295,0.032119999999999996,0.02,2.198389,99.99690431229295
37031,2018-12-14 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.23,208.83,114.87,322.24,0.38948,1.837463,0.032119999999999996,0.02,2.2590630000000003,99.99689662663316
37032,2018-12-14 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.56,208.6,115.41,322.57,0.38948,1.837463,0.032119999999999996,0.02,2.2590630000000003,99.9968998015873
