,datetime,mean_prcp_imp,prcp_1yr,prcp_2yr,prcp_5yr,int_one,int_two,int_five,1 year ,2 year,5 year,influent_flow_imp,influent_flow_east_imp,influent_flow_west_imp,complete_flow_imp,ammonia_ppm_imp,nitrate_ppm_imp,nitrite_ppm_imp,orthophosphate_imp,TIN,performance
66534,7/6/2019 23:00,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,563.38,424.53,140.63,563.39,0.090026,2.749938,0.031357,0.02,2.871321,99.998225
66535,7/6/2019 23:10,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,556.54,419.7,138.67,556.55,0.090026,2.749938,0.031357,0.02,2.871321,99.99820318
66536,7/6/2019 23:20,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,552.24,416.14,137.88,552.25,0.090026,2.749938,0.031357,0.02,2.871321,99.99818919
66537,7/6/2019 23:30,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,548.58,407.34,143.01,548.59,0.090026,2.749938,0.031357,0.02,2.871321,99.99817711
66538,7/6/2019 23:40,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,541.97,399.77,143.86,541.98,0.090948,2.844248,0.031357,0.02,2.966553,99.99815488
66539,7/6/2019 23:50,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,530.54,392.48,139.74,530.55,0.091934,2.943725,0.031357,0.02,3.067016,99.99811513
66540,7/7/2019 0:00,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,525.9,389.17,138.54,525.91,0.091934,2.943725,0.031357,0.02,3.067016,99.9980985
66541,7/7/2019 0:10,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,514.67,381.52,134.91,514.68,0.091934,2.943725,0.031357,0.02,3.067016,99.99805701
66542,7/7/2019 0:20,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,503.86,373.56,132.1,503.87,0.091934,2.943725,0.031357,0.02,3.067016,99.99801532
66543,7/7/2019 0:30,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,491.39,362.93,130.14,491.4,0.091934,2.943725,0.031338,0.02,3.066997,99.99796496
66544,7/7/2019 0:40,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,446.78,324.02,124.3,446.79,0.091934,3.118235,0.029068,0.02,3.239237,99.99776176
66545,7/7/2019 0:50,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,428.77,306.05,124.52,428.78,0.091934,3.302307,0.029068,0.02,3.423309,99.99766775
66546,7/7/2019 1:00,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,415.98,293.12,124.62,415.99,0.091934,3.302307,0.029068,0.02,3.423309,99.99759604
66547,7/7/2019 1:10,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,380.06,268.23,113.64,380.07,0.091934,3.302307,0.029068,0.02,3.423309,99.99736884
66548,7/7/2019 1:20,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,372.86,262.04,112.56,372.86,0.091934,3.302307,0.029068,0.02,3.423309,100
66549,7/7/2019 1:30,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,369.89,259.14,112.53,369.9,0.091934,3.302307,0.029084,0.02,3.423325,99.99729649
66550,7/7/2019 1:40,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,367.12,256.4,112.53,367.13,0.117747,3.30305,0.030975,0.02,3.451772,99.9972761
66551,7/7/2019 1:50,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,340.64,229.07,113.34,340.65,0.14534,3.303833,0.030975,0.02,3.480148,99.99706435
66552,7/7/2019 2:00,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,343.05,231.18,113.64,343.05,0.14534,3.303833,0.030975,0.02,3.480148,100
66553,7/7/2019 2:10,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,351.62,240.05,113.38,351.63,0.14534,3.303833,0.030975,0.02,3.480148,99.99715602
66554,7/7/2019 2:20,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,348.28,237.84,112.29,348.29,0.14534,3.303833,0.030975,0.02,3.480148,99.99712875
66555,7/7/2019 2:30,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,347.54,236.74,112.57,347.53,0.14534,3.303833,0.030978,0.02,3.480151,100.0028774
66556,7/7/2019 2:40,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,343.71,232.81,112.77,343.73,0.389468,3.348389,0.031357,0.02,3.769214,99.99418114
66557,7/7/2019 2:50,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,333.4,225.67,109.5,333.4,0.646973,3.395386,0.031357,0.02,4.073716,100
66558,7/7/2019 3:00,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,302.57,214.48,90.11,302.57,0.646973,3.395386,0.031357,0.02,4.073716,100
66559,7/7/2019 3:10,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,296.75,210.87,87.93,296.76,0.646973,3.395386,0.031357,0.02,4.073716,99.99663016
