,datetime,mean_prcp_imp,prcp_1yr,prcp_2yr,prcp_5yr,int_one,int_two,int_five,influent_flow_imp,influent_flow_east_imp,influent_flow_west_imp,complete_flow_imp,ammonia_ppm_imp,nitrate_ppm_imp,nitrite_ppm_imp,orthophosphate_imp,TIN,performance
81510,2019-10-18 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.35,181.73,81.98,262.36,0.099564,2.162475,0.028687,0.02,2.2907260000000003,99.9961882980751
81511,2019-10-18 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.21,181.29,80.52,260.21,0.099564,2.162475,0.028687,0.02,2.2907260000000003,100.0
81512,2019-10-18 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.29,197.74,58.04,254.3,0.099564,2.162475,0.028687,0.02,2.2907260000000003,99.99606748200873
81513,2019-10-18 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.44,217.75,54.18,270.45,0.099564,2.162475,0.028687,0.02,2.2907260000000003,99.9963023221417
81514,2019-10-18 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.32,216.63,53.19,268.33,0.099564,2.1598889999999997,0.028687,0.02,2.28814,99.99627310673823
81515,2019-10-18 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.65,216.96,52.27,267.66,0.099564,2.157898,0.028687,0.02,2.286149,99.99626377732112
81516,2019-10-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.35,216.35,51.52,266.36,0.099564,2.157898,0.028687,0.02,2.286149,99.99624554158063
81517,2019-10-19 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.39,215.04,50.78,264.39,0.099564,2.157898,0.028687,0.02,2.286149,100.0
81518,2019-10-19 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.32,214.44,50.41,263.33,0.099564,2.157898,0.028687,0.02,2.286149,99.99620233935896
81519,2019-10-19 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.26,214.67,49.94,263.28,0.099564,2.157898,0.028687,0.02,2.286149,99.99240294765632
81520,2019-10-19 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.49,213.3,49.52,261.49,0.100632,2.190658,0.028687,0.02,2.319977,100.0
81521,2019-10-19 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.18,213.47,50.05,262.18,0.101471,2.215881,0.028687,0.02,2.346039,100.0
81522,2019-10-19 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.61,169.44,51.5,219.62,0.101471,2.215881,0.028687,0.02,2.346039,99.99544647329357
81523,2019-10-19 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.19,153.11,52.51,204.2,0.101471,2.215881,0.028687,0.02,2.346039,99.99510260051913
