Time,effluent_ammonia,effluent_nitrate,effluent_nitrite,count,hours
5/23/2018,0.175857,2.28302,0.030212,8,1.142857143
6/3/2018,0.219726,2.775879,0.074463,11,1.571428571
7/25/2018,0.198745,2.492065,0.030212,11,1.571428571
8/11/2018,0.090026,2.847595,0.029449,8,1.142857143
8/14/2018,0.08812,2.662963,0.030594,8,1.142857143
8/19/2018,0.08812,2.569885,0.028687,8,1.142857143
8/25/2018,0.08812,2.427979,0.028687,10,1.428571429
8/30/2018,0.091934,2.550049,0.029068,8,1.142857143
8/31/2018,0.090026,2.662963,0.031357,11,1.571428571
9/3/2018,0.093841,2.476807,0.029068,8,1.142857143
9/11/2018,0.370407,2.569885,0.028305,51,7.285714286
9/11/2018,0.505103163,2.549054394,0.066780561,9,1.285714286
9/13/2018,0.090026,2.955933,0.029068,9,1.285714286
9/14/2018,0.08812,2.521057,0.029068,9,1.285714286
9/16/2018,0.090026,2.920837,0.030594,8,1.142857143
9/17/2018,0.08812,2.691956,0.029068,9,1.285714286
9/17/2018,0.090026,2.818603,0.030975,8,1.142857143
9/21/2018,0.08812,2.691956,0.029068,9,1.285714286
9/23/2018,0.097656,2.878112,0.029449,11,1.571428571
10/1/2018,0.090026,2.974243,0.029068,8,1.142857143
10/2/2018,0.093841,3.24585,0.029068,9,1.285714286
10/4/2018,0.091934,3.454895,0.030212,57,8.142857143
10/7/2018,0.090026,2.803345,0.029449,10,1.428571429
10/9/2018,0.091934,2.989502,0.029068,8,1.142857143
10/10/2018,0.091934,3.131408,0.030975,8,1.142857143
10/13/2018,0.090026,2.696533,0.030975,8,1.142857143
10/23/2018,0.091934,3.007813,0.030975,8,1.142857143
10/26/2018,0.105286,2.853698,0.03212,8,1.142857143
10/27/2018,0.091934,2.783508,0.030975,8,1.142857143
11/27/2018,0.095749,2.6828,0.029449,11,1.571428571
12/10/2018,0.214004,2.745361,0.03212,10,1.428571429
12/16/2018,0.43335,2.945251,0.031738,11,1.571428571
1/12/2019,0.162506,2.83844,0.03212,10,1.428571429
1/26/2019,0.229263,2.583618,0.029068,11,1.571428571
4/23/2019,0.162506,2.034302,0.027924,8,1.142857143
5/28/2019,0.090026,2.044983,0.028305,9,1.285714286
5/31/2019,0.090026,1.793213,0.027924,10,1.428571429
6/3/2019,0.086212,2.548522,0.028687,11,1.571428571
6/12/2019,0.090026,1.977844,0.027924,11,1.571428571
6/12/2019,0.093841,1.724548,0.028305,11,1.571428571
6/14/2019,0.090026,1.744385,0.027924,11,1.571428571
6/17/2019,0.091934,1.814575,0.027924,11,1.571428571
6/21/2019,0.095749,2.192993,0.028305,8,1.142857143
6/24/2019,0.091934,2.081604,0.028305,8,1.142857143
6/27/2019,0.093841,3.126831,0.029068,10,1.428571429
6/29/2019,0.093841,3.306885,0.030975,10,1.428571429
7/2/2019,0.091934,3.001709,0.030975,11,1.571428571
7/15/2019,0.093841,2.794189,0.029068,8,1.142857143
7/26/2019,0.095749,2.550049,0.030975,11,1.571428571
8/1/2019,0.088119,1.959534,0.030594,10,1.428571429
8/9/2019,0.086212,1.448364,0.028305,11,1.571428571
8/11/2019,0.086212,1.506348,0.027924,9,1.285714286
8/12/2019,0.088119,1.5979,0.027542,9,1.285714286
8/13/2019,0.084305,1.622314,0.027542,10,1.428571429
8/13/2019,0.084305,1.626892,0.027542,10,1.428571429
8/16/2019,0.088119,1.671142,0.027542,10,1.428571429
8/20/2019,0.091934,1.994629,0.030594,10,1.428571429
8/23/2019,0.086212,2.099914,0.030212,11,1.571428571
8/28/2019,0.088119,2.081604,0.030594,11,1.571428571
8/28/2019,0.093841,2.315063,0.030975,11,1.571428571
9/5/2019,0.088119,1.986999,0.030212,10,1.428571429
9/6/2019,0.088119,1.977844,0.030212,10,1.428571429
9/11/2019,0.095749,2.545471,0.031357,13,1.857142857
9/12/2019,0.090026,2.432556,0.029068,8,1.142857143
9/13/2019,0.090026,2.632446,0.029449,8,1.142857143
9/15/2019,0.090026,2.485961,0.029068,11,1.571428571
9/16/2019,0.20256,2.0755,0.030594,8,1.142857143
9/18/2019,0.427627,1.748962,0.029449,8,1.142857143
10/23/2019,0.513458,2.304382,0.030594,91,13
10/24/2019,0.513458,2.304382,0.030594,144,20.57142857
10/25/2019,0.513458,2.304382,0.030594,144,20.57142857
10/26/2019,0.513458,2.304382,0.030594,144,20.57142857
10/27/2019,0.513458,2.304382,0.030594,144,20.57142857
10/28/2019,0.513458,2.304382,0.030594,144,20.57142857
10/29/2019,0.513458,2.304382,0.030594,144,20.57142857
10/30/2019,0.513458,2.304382,0.030594,144,20.57142857
10/31/2019,0.513458,2.304382,0.030594,144,20.57142857
